model_name,scenario,train_prop,test_prop,missing_prop,mean_auc,std_auc,n_replicates,auc_ci95,auc_ci95_lower,auc_ci95_upper,baseline_auc,degradation_ratio,degradation_ratio_ci95,degradation_ratio_ci95_lower,degradation_ratio_ci95_upper,excluded_from_train_degradation
VAE_MLP,train,0.4,0.0,0.4,0.5966008055801159,0.07999794413385114,125,0.014529168058420916,0.5819358466778007,0.6109941827946426,0.5955732914169697,0.9982777191154695,0.02491814377309365,0.9733595753423758,1.0231958628885631,False
VAE_MLP,train,0.6,0.0,0.6,0.5759258473327439,0.07994667731232474,125,0.013770068114090983,0.562309259586731,0.5898493958149129,0.5955732914169697,1.0341145377920058,0.025330750211195463,1.0087837875808103,1.0594452880032013,False
VAE_MLP,train,0.8,0.0,0.8,0.533982945279497,0.07235471729052523,125,0.01233977371713002,0.5214638906899827,0.5461434381242427,0.5955732914169697,1.1153414105861286,0.02638405211508066,1.088957358471048,1.1417254627012092,False
ZI_MLP,train,0.0,0.0,0.0,0.6116368864001049,0.07187507327913648,125,0.012217363526214164,0.5993461924878016,0.62378091954023,0.6116368864001049,1.0,0.02038199134328922,0.9796180086567108,1.0203819913432892,False
ZI_MLP,train,0.2,0.0,0.2,0.6034516553688968,0.07832713848381409,125,0.013672426400759607,0.5899085381668142,0.6172533909683334,0.6116368864001049,1.0135640211744956,0.023496723521802654,0.990067297652693,1.0370607446962983,False
ZI_MLP,train,0.4,0.0,0.4,0.5984062612568358,0.07895945773618113,125,0.0138588795559485,0.5844872721616401,0.6122050312735371,0.6116368864001049,1.0221097705687117,0.02423293071992294,0.9978768398487887,1.0463427012886346,False
ZI_MLP,train,0.6,0.0,0.6,0.5770757179814651,0.08169639204215622,125,0.014183603661132527,0.5626673471526343,0.5910345544748994,0.6116368864001049,1.0598901796449351,0.02670682685004766,1.0331833527948875,1.0865970064949828,False
ZI_MLP,train,0.8,0.0,0.8,0.5297881913743983,0.07484338322042101,125,0.012943964534826491,0.5166843134558079,0.5425722425254609,0.6116368864001049,1.154493241560125,0.02891339169217355,1.1255798498679515,1.1834066332522986,False
pAM,train,0.0,0.0,0.0,0.595544015456659,0.07561315241776803,125,0.013219263516389912,0.5826724370435865,0.6091109640763663,0.595544015456659,1.0,0.02270084428378527,0.9772991557162147,1.0227008442837853,False
pAM,train,0.2,0.0,0.2,0.592575354487998,0.07593309932669869,125,0.012924017094017137,0.5795197458820447,0.605367780070079,0.595544015456659,1.005009761115067,0.022407889871695286,0.9826018712433717,1.0274176509867623,False
pAM,train,0.4,0.0,0.4,0.5790362904018078,0.07262501161561745,125,0.012986961063627733,0.5663684134001374,0.5923423355273929,0.595544015456659,1.028508964513081,0.023597247065623383,1.0049117174474576,1.0521062115787043,False
